Hit,Protein1,Protein2,E,Score,Organism
13172,P14236,B1WY29,4.1e-15,58.2,Crocosphaera subtropica (strain ATCC 51142 / BH68)
13173,P14236,Q1XDG9,4.4e-15,58.1,Pyropia yezoensis
13174,A0T0X4,A0T0I0,4.0999999999999996e-41,143.7,Phaeodactylum tricornutum (strain CCAP 1055/1)
13175,A0T0X4,Q1XDH6,2.4e-32,115.6,Pyropia yezoensis
13176,A0T0X4,P51312,7.700000000000001e-32,114.0,Porphyra purpurea
13177,A0T0X4,B7K333,1.3e-30,110.2,Rippkaea orientalis (strain PCC 8801)
13178,A0T0X4,O46896,1.7e-30,109.7,Guillardia theta
13179,A0T0X4,Q9MUT8,4.8e-29,105.1,Mesostigma viride
13180,A0T0X4,Q110A9,1.9000000000000003e-28,103.2,Trichodesmium erythraeum (strain IMS101)
13181,A0T0X4,B1WQR2,2.6e-28,102.7,Crocosphaera subtropica (strain ATCC 51142 / BH68)
13182,A0T0X4,B0C1D5,4.600000000000001e-28,102.0,Acaryochloris marina (strain MBIC 11017)
13183,A0T0X4,P73318,1.1e-27,100.7,Synechocystis sp. (strain PCC 6803 / Kazusa)
13184,A0T0X4,Q8DMM9,7e-27,98.2,Thermosynechococcus elongatus (strain BP-1)
13185,A0T0X4,Q8YPI1,8.6e-27,97.9,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
13186,A0T0X4,O24691,1.4e-26,97.2,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
13187,A0T0X4,Q31L09,1.4e-26,97.2,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
13188,A0T0X4,B2ITQ3,6.4e-26,95.1,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
13189,A0T0X4,Q4G363,1.3e-25,94.1,Emiliania huxleyi
13190,Q3ZJ07,P56341,0.0,1666.5,Chlorella vulgaris
13191,Q3ZJ07,Q20EW6,0.0,1651.5,Oltmannsiellopsis viridis
13192,Q3ZJ07,Q9TKW2,0.0,1642.8,Nephroselmis olivacea
13193,Q3ZJ07,P06406,0.0,1580.7,Marchantia polymorpha
13194,Q3ZJ07,Q8MFA3,0.0,1572.8,Physcomitrium patens
13195,P28740,Q9WV63,0.0,1569.8,Rattus norvegicus
13196,P28740,O00139,0.0,1556.4,Homo sapiens
13197,P28740,Q5R9Y9,0.0,1540.0,Pongo abelii
13198,P28740,Q2NL05,0.0,1407.3,Bos taurus
13199,P28740,Q91637,0.0,1300.7,Xenopus laevis
13200,P28740,P70096,6e-238,796.3,Cricetulus griseus
13201,P28740,Q922S8,2e-235,787.9,Mus musculus
13202,P28740,Q95LT1,1.6e-233,781.7,Macaca fascicularis
13203,P28740,Q8C0N1,6.4e-233,779.7,Mus musculus
13204,P28740,Q5XI51,1.9e-230,771.5,Rattus norvegicus
13205,P28740,Q8N4N8,8.999999999999999e-229,766.0,Homo sapiens
13206,P28740,A6H750,6.8000000000000005e-227,759.8,Bos taurus
13207,P28740,Q91636,1.8e-225,755.0,Xenopus laevis
13208,P28740,Q95LP1,2.1e-222,744.9,Macaca fascicularis
13209,B2J6T8,Q3MBE2,2.3e-45,157.7,Trichormus variabilis ATCC 29413
13210,B2J6T8,Q8YMX2,4.4e-45,156.8,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
13211,B2J6T8,Q10XV0,1.2e-38,136.2,Trichodesmium erythraeum (strain IMS101)
13212,B2J6T8,B0JSQ9,2.4e-33,119.1,Microcystis aeruginosa (strain NIES-843)
13213,B2J6T8,B1WU11,7.4e-32,114.3,Crocosphaera subtropica (strain ATCC 51142 / BH68)
13214,B2J6T8,B1XP08,1.7999999999999998e-31,113.1,Synechococcus sp. PCC 7002
13215,B2J6T8,B7JXP0,1.2e-30,110.4,Rippkaea orientalis (strain PCC 8801)
13216,P12410,Q3M9V7,3.6e-92,310.5,Trichormus variabilis ATCC 29413
13217,P12410,Q112Z3,8.2e-58,199.3,Trichodesmium erythraeum (strain IMS101)
13218,P12410,B1XHZ1,2.1e-51,178.6,Synechococcus sp. PCC 7002
13219,P12410,Q8DLP6,1.4999999999999998e-39,140.2,Thermosynechococcus elongatus (strain BP-1)
13220,P12410,Q02852,4.8e-38,135.3,Antithamnion sp.
13221,P12410,P48085,1.8e-37,133.5,Cyanophora paradoxa
13222,Q9ZP06,Q9LKA3,8.7e-199,664.2,Arabidopsis thaliana
13223,Q9ZP06,P17783,4.3999999999999986e-192,642.2,Citrullus lanatus
13224,Q9ZP06,P83373,1.3e-187,627.5,Fragaria ananassa
13225,Q9ZP06,P46487,8.6e-184,615.0,Eucalyptus gunnii
13226,Q9ZP06,Q42686,7.9e-147,493.6,Chlamydomonas reinhardtii
13227,Q9ZP06,Q5NVR2,1.0999999999999999e-120,407.7,Pongo abelii
13228,Q9ZP06,P40926,5.6999999999999996e-120,405.3,Homo sapiens
13229,Q09119,Q760S7,2.1e-314,1047.3,Neoporphyra dentata
13230,Q09119,Q760T5,2.8e-314,1046.8,Pyropia yezoensis
13231,Q09119,Q760R9,2.8e-314,1046.8,Pyropia katadae
13232,Q09119,P50255,7.4e-314,1045.4,Pyropia suborbiculata
13233,Q09119,Q760R5,2.7e-313,1043.6,Neoporphyra haitanensis
13234,Q09119,P51226,7.8e-313,1042.1,Porphyra purpurea
13235,Q09119,Q6B8P0,2.1e-308,1027.4,Gracilaria tenuistipitata var. liui
13236,Q09119,Q85G81,1.5999999999999998e-300,1001.5,Cyanidioschyzon merolae (strain 10D)
13237,Q09119,P14959,7.4e-297,989.4,Olisthodiscus luteus
13238,Q09119,P24673,9.2e-294,979.2,Cylindrotheca sp. (strain N1)
13239,Q09119,Q9TK52,2.1e-293,978.0,Phaeodactylum tricornutum (strain CCAP 1055/1)
13240,O78446,A6MVT2,2.8e-243,811.1,Rhodomonas salina
13241,O78446,Q1XDS5,1.7e-231,772.3,Pyropia yezoensis
13242,O78446,O98733,3.7e-230,767.9,Palmaria palmata
13243,O78446,Q6B929,4.2e-229,764.4,Gracilaria tenuistipitata var. liui
13244,O78446,A0T0G9,1.2e-224,749.7,Phaeodactylum tricornutum (strain CCAP 1055/1)
13245,O78446,Q4G3F2,5.3e-223,744.3,Emiliania huxleyi
13246,O78446,P49460,5.3e-222,741.0,Trieres chinensis
13247,O78446,A0T0W2,8.999999999999999e-222,740.3,Thalassiosira pseudonana
13248,O78446,P48265,1.5999999999999998e-221,739.4,Bumilleriopsis filiformis
13249,O78446,P04997,1.7e-219,732.8,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
13250,O78446,Q5N5R2,1.7e-219,732.8,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
13251,O78446,Q3MAB1,1.7e-219,732.8,Trichormus variabilis ATCC 29413
13252,O78446,P31694,1.3000000000000002e-218,729.9,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
13253,Q19VA4,Q6YXK2,4.0000000000000003e-44,155.5,Physcomitrium patens
13254,Q19VA4,Q85AL8,4.4e-43,152.1,Anthoceros angustus
13255,Q19VA4,Q32RL0,9.899999999999998e-43,151.0,Zygnema circumcarinatum
13256,Q19VA4,P06291,1.9e-42,150.1,Marchantia polymorpha
13257,Q19VA4,Q32RS7,9.9e-41,144.5,Staurastrum punctulatum
13258,Q19VA4,Q9TL15,2.4e-37,133.5,Nephroselmis olivacea
13259,Q19VA4,Q20EV8,3.2e-30,110.3,Oltmannsiellopsis viridis
13260,Q31L23,O24705,6.1e-110,369.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
13261,Q31L23,P59126,3.6e-88,298.7,Thermosynechococcus elongatus (strain BP-1)
13262,Q31L23,B0C1E9,9.2e-84,284.4,Acaryochloris marina (strain MBIC 11017)
13263,Q31L23,Q8YPJ5,8.200000000000001e-80,271.5,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
13264,Q31L23,Q3MFA5,8.200000000000001e-80,271.5,Trichormus variabilis ATCC 29413
13265,Q31L23,B7KI03,4.9e-79,269.0,Gloeothece citriformis (strain PCC 7424)
13266,Q6B8V6,P51311,8.4e-140,470.0,Porphyra purpurea
13267,Q6B8V6,A0T0X5,5.000000000000001e-133,447.7,Thalassiosira pseudonana
13268,Q6B8V6,P49545,6.800000000000001e-130,437.5,Trieres chinensis
13269,Q6B8V6,A0T0I1,8.6e-128,430.6,Phaeodactylum tricornutum (strain CCAP 1055/1)
13270,Q6B8V6,A6MW04,1.3999999999999998e-127,429.9,Rhodomonas salina
13271,Q6B8V6,O46897,9.8e-126,423.8,Guillardia theta
13272,Q6B8V6,B1XJT6,4e-123,415.2,Synechococcus sp. PCC 7002
13273,Q32RJ7,Q6YXL7,2.6e-20,74.1,Physcomitrium patens
13274,Q32RJ7,P60152,2.6e-20,74.1,Psilotum nudum
13275,Q32RJ7,A2T348,7.3e-20,72.7,Angiopteris evecta
13276,Q32RJ7,Q8M9W9,8.6e-20,72.5,Chaetosphaeridium globosum
13277,Q32RJ7,Q85A78,1.2e-19,72.1,Anthoceros angustus
13278,Q32RJ7,P49514,2.2e-19,71.3,Trieres chinensis
13279,Q32RJ7,A0T0U0,2.2e-19,71.3,Thalassiosira pseudonana
13280,Q32RJ7,A6MVV3,5.9e-19,70.0,Rhodomonas salina
13281,Q32RJ7,O78464,8.5e-19,69.5,Guillardia theta
13282,Q32RJ7,Q9TKY3,9.1e-19,69.4,Nephroselmis olivacea
13283,P18548,P42220,1.7000000000000008e-118,400.0,Streptomyces clavuligerus
13284,P18548,P11935,3.7e-117,395.6,Acremonium chrysogenum
13285,P18548,P18286,2.6e-08,38.1,Streptomyces jumonjinensis
13286,P18548,Q54243,7.2e-07,33.4,Streptomyces griseus
13287,P18548,P10621,9.1e-07,33.1,Streptomyces clavuligerus
13288,P18548,Q07512,7e-05,26.9,Petunia hybrida
13289,B7K8N1,B0JYC2,5.8e-50,172.6,Microcystis aeruginosa (strain NIES-843)
13290,B7K8N1,B2J6L1,1.4e-48,168.2,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
13291,B7K8N1,Q8YQ66,2.1999999999999997e-47,164.4,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
13292,B7K8N1,P52858,1.4e-44,155.4,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
13293,B7K8N1,Q9MUR6,6.9e-41,143.5,Mesostigma viride
13294,B7K8N1,A6MVZ5,1.3e-40,142.6,Rhodomonas salina
13295,B7K8N1,Q19V89,1.3e-39,139.5,Chlorokybus atmophyticus
13296,O35284,D4A7E1,2.7e-77,261.0,Rattus norvegicus
13297,O35284,Q16520,5.6e-75,253.6,Homo sapiens
13298,O35284,E1BD44,8.399999999999999e-75,253.0,Bos taurus
13299,O35284,Q9NR55,4.1e-25,93.0,Homo sapiens
13300,O35284,P18847,3e-12,51.6,Homo sapiens
13301,O35284,Q2KII1,1.5e-11,49.4,Bos taurus
13302,Q8DL16,Q9R6Y2,1.0999999999999999e-190,638.9,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
13303,Q8DL16,B0CDA5,2e-185,621.6,Acaryochloris marina (strain MBIC 11017)
13304,Q8DL16,Q9R6T0,3.5e-185,620.8,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
13305,Q8DL16,Q31RG5,3.5e-185,620.8,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
13306,Q8DL16,B0JHI7,7.4e-184,616.4,Microcystis aeruginosa (strain NIES-843)
13307,Q8DL16,B2J814,1.7e-183,615.2,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
13308,Q8DL16,Q118K5,6.1e-182,610.1,Trichodesmium erythraeum (strain IMS101)
13309,Q8DL16,B1WRN9,5.499999999999999e-181,606.9,Crocosphaera subtropica (strain ATCC 51142 / BH68)
13310,Q8DL16,P73912,1.0999999999999996e-177,596.1,Synechocystis sp. (strain PCC 6803 / Kazusa)
13311,Q8DL16,Q2JXK6,1.4e-155,523.2,Synechococcus sp. (strain JA-3-3Ab)
13312,Q8DL16,A0T0W1,3.7e-119,403.2,Thalassiosira pseudonana
13313,Q8DL16,P51363,8.4e-118,398.7,Porphyra purpurea
13314,Q8DL16,P49539,3.0000000000000003e-117,396.9,Trieres chinensis
13315,Q31N15,Q5MZ21,0.0,2888.4,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
13316,Q31N15,B0C385,0.0,1844.4,Acaryochloris marina (strain MBIC 11017)
13317,Q31N15,Q2JQT4,0.0,1756.7,Synechococcus sp. (strain JA-3-3Ab)
13318,Q31N15,Q3M5C8,0.0,1756.1,Trichormus variabilis ATCC 29413
13319,Q31N15,P22705,0.0,1755.2,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
13320,Q31N15,Q2JJ17,0.0,1746.6,Synechococcus sp. (strain JA-2-3B'a(2-13))
13321,Q31N15,B2J1A0,0.0,1731.8,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
13322,Q31N15,P73334,0.0,1706.3,Synechocystis sp. (strain PCC 6803 / Kazusa)
13323,Q31N15,Q110H3,0.0,1701.6,Trichodesmium erythraeum (strain IMS101)
13324,Q31N15,B0JGK8,0.0,1644.6,Microcystis aeruginosa (strain NIES-843)
13325,Q31N15,B1XHW1,0.0,1636.2,Synechococcus sp. PCC 7002
13326,A0T0S7,O96811,2.6e-19,70.8,Skeletonema costatum
13327,A0T0S7,P49470,5.6e-18,66.7,Trieres chinensis
13328,A0T0S7,A0T0A0,5.9e-18,66.7,Phaeodactylum tricornutum (strain CCAP 1055/1)
13329,A0T0S7,P14236,5.2e-15,57.8,Cyanophora paradoxa
13330,A0T0S7,Q6B8U9,2.5e-14,55.8,Gracilaria tenuistipitata var. liui
13331,A0T0S7,A6MVZ4,4.5e-13,52.0,Rhodomonas salina
13332,A0T0S7,O78505,5.9e-13,51.6,Guillardia theta
13333,A0T0S7,Q1XDG9,8.5e-13,51.2,Pyropia yezoensis
13334,A0T0S7,Q32RT5,9.1e-13,51.1,Staurastrum punctulatum
13335,A0T0S7,P74149,1.1e-12,50.8,Synechocystis sp. (strain PCC 6803 / Kazusa)
13336,A0T0S7,Q4G378,1.7e-12,50.3,Emiliania huxleyi
13337,A0T0S7,Q32RH6,3.7e-12,49.2,Zygnema circumcarinatum
13338,A0T0S7,Q8M9Y4,4.9e-12,48.9,Chaetosphaeridium globosum
13339,A0T0S7,Q1ACI5,5.9e-12,48.6,Chara vulgaris
13340,A0T0S7,B7JUD9,7.2e-12,48.4,Rippkaea orientalis (strain PCC 8801)
13341,A0T0S7,B0JUK8,7.3e-12,48.4,Microcystis aeruginosa (strain NIES-843)
13342,A0T0S7,B1WY29,9.8e-12,48.0,Crocosphaera subtropica (strain ATCC 51142 / BH68)
13343,A0T0S7,Q9Z3G1,1e-11,47.9,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
13344,P51340,O78415,2.1e-92,312.2,Guillardia theta
13345,P51340,Q6B904,7.2e-92,310.5,Gracilaria tenuistipitata var. liui
13346,P51340,Q4G3F7,2.3e-90,305.6,Emiliania huxleyi
13347,P51340,P06250,5.400000000000001e-89,301.1,Marchantia polymorpha
13348,P51340,Q32RU6,5.9e-89,301.0,Staurastrum punctulatum
13349,P51340,Q71KP3,1.3e-88,299.9,Spirogyra maxima
13350,P51340,P00166,1.4e-88,299.8,Spinacia oleracea
13351,P51340,Q85AY5,1.7e-88,299.5,Anthoceros angustus
13352,P51340,Q1ACH0,5.3e-88,297.9,Chara vulgaris
13353,P51340,Q9TL32,7.6e-88,297.4,Nephroselmis olivacea
13354,P51389,Q1XD98,1.1e-21,78.7,Pyropia yezoensis
13355,P51389,Q6B8K6,4.5e-21,76.9,Gracilaria tenuistipitata var. liui
13356,P51389,A6MVV3,1.2e-20,75.5,Rhodomonas salina
13357,P51389,O78464,1.8e-20,75.1,Guillardia theta
13358,P51389,Q85FQ4,2e-19,71.9,Cyanidioschyzon merolae (strain 10D)
13359,P51389,Q4G382,6.6e-19,70.3,Emiliania huxleyi
13360,P51389,P49514,1.1e-18,69.6,Trieres chinensis
13361,P51389,A0T0U0,1.1e-18,69.6,Thalassiosira pseudonana
13362,P51389,Q32RJ7,5.7e-18,67.4,Zygnema circumcarinatum
13363,P51389,Q8M9W9,1.9e-17,65.9,Chaetosphaeridium globosum
13364,P51389,A2T348,4.2e-17,64.8,Angiopteris evecta
13365,P51389,Q85A78,4.3e-17,64.8,Anthoceros angustus
13366,P51389,P60151,4.4e-17,64.7,Marchantia polymorpha
13367,P51389,Q6YXL7,4.4e-17,64.7,Physcomitrium patens
13368,P51389,P60152,4.4e-17,64.7,Psilotum nudum
13369,P51389,Q5SD41,4.5e-17,64.7,Huperzia lucidula
13370,Q1XDI3,Q8DMM3,1.2e-28,103.2,Thermosynechococcus elongatus (strain BP-1)
13371,Q1XDI3,Q8YPI8,2.5e-28,102.2,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
13372,Q1XDI3,Q3MFB2,2.5e-28,102.2,Trichormus variabilis ATCC 29413
13373,Q1XDI3,P73311,7.000000000000001e-28,100.8,Synechocystis sp. (strain PCC 6803 / Kazusa)
13374,Q1XDI3,Q2JV90,1.2e-27,100.0,Synechococcus sp. (strain JA-3-3Ab)
13375,Q1XDI3,Q0ID14,4.5e-27,98.2,Synechococcus sp. (strain CC9311)
13376,Q1XDI3,Q2JIL8,5e-27,98.1,Synechococcus sp. (strain JA-2-3B'a(2-13))
13377,Q1XDI3,P49504,9.2e-27,97.2,Trieres chinensis
13378,Q2JRR9,B0BYW9,1.5e-09,41.8,Acaryochloris marina (strain MBIC 11017)
13379,Q2JRR9,B2ITV2,8.2e-09,39.5,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
13380,Q2JRR9,P72575,5.4e-08,37.0,Synechocystis sp. (strain PCC 6803 / Kazusa)
13381,Q2JRR9,B0JX68,9.8e-08,36.2,Microcystis aeruginosa (strain NIES-843)
13382,Q2JRR9,Q31LM3,6.8e-07,33.7,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
13383,Q2JRR9,A5GNP1,5.7e-06,30.9,Synechococcus sp. (strain WH7803)
13384,Q2JRR9,P51197,2.6e-05,28.9,Porphyra purpurea
13385,P51206,Q1XDT1,2.2e-18,67.2,Pyropia yezoensis
13386,P51206,Q6B935,8.7e-15,56.4,Gracilaria tenuistipitata var. liui
13387,P51206,Q10WA3,1.2e-11,47.1,Trichodesmium erythraeum (strain IMS101)
13388,P51206,Q4G385,2e-11,46.4,Emiliania huxleyi
13389,P51206,Q85G61,3e-11,45.9,Cyanidioschyzon merolae (strain 10D)
13390,P51206,P49543,1.4e-10,43.9,Trieres chinensis
13391,P51206,O78433,1.6e-10,43.7,Guillardia theta
13392,P51206,A0T0V3,1.6e-10,43.7,Thalassiosira pseudonana
13393,P51206,A0T0G0,4.3e-10,42.4,Phaeodactylum tricornutum (strain CCAP 1055/1)
13394,P51206,Q31LS7,3.9e-08,36.6,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
13395,P51206,Q5N047,3.9e-08,36.6,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
13396,P51206,B7JX92,2e-07,34.5,Rippkaea orientalis (strain PCC 8801)
13397,P51206,P59908,2.1e-07,34.4,Synechococcus sp. (strain WH8102)
13398,P51206,B2J1B5,2.3e-07,34.3,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
13399,C8VCM2,A1DIL2,2.4e-91,308.4,Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181)
13400,C8VCM2,Q2UAX9,6.3e-90,303.8,Aspergillus oryzae (strain ATCC 42149 / RIB 40)
13401,A2BWH6,Q31AT8,8.2e-31,108.3,Prochlorococcus marinus (strain MIT 9312)
13402,A2BWH6,A2BR89,1.2e-29,104.7,Prochlorococcus marinus (strain AS9601)
13403,A2BWH6,A5GKS6,2.5e-24,88.2,Synechococcus sp. (strain WH7803)
13404,A2BWH6,Q7VBW1,5.699999999999999e-24,87.0,Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)
13405,A2BWH6,Q0IAJ5,2.1e-23,85.3,Synechococcus sp. (strain CC9311)
13406,A2BWH6,Q7U6X6,1.2e-22,82.9,Synechococcus sp. (strain WH8102)
13407,A2BWH6,Q31PJ2,2.1e-22,82.1,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
13408,O19895,Q85G59,1.3e-227,759.5,Cyanidioschyzon merolae (strain 10D)
13409,O19895,A0T0G9,8.5e-223,743.7,Phaeodactylum tricornutum (strain CCAP 1055/1)
13410,O19895,A0T0W2,8.9e-222,740.3,Thalassiosira pseudonana
13411,O19895,P49460,1.1e-221,740.1,Trieres chinensis
13412,O19895,Q1XDS5,1.4e-220,736.4,Pyropia yezoensis
13413,O19895,P48265,1.8e-220,736.0,Bumilleriopsis filiformis
13414,O19895,P51212,8.8e-220,733.8,Porphyra purpurea
13415,O19895,O78446,1.5e-219,733.0,Guillardia theta
13416,O19895,O98733,3.3e-219,731.9,Palmaria palmata
13417,O19895,A6MVT2,8.1e-219,730.6,Rhodomonas salina
13418,O19895,Q6B929,1.2e-218,730.0,Gracilaria tenuistipitata var. liui
13419,O19895,P04997,1.2e-217,726.8,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
13420,O19895,Q5N5R2,1.2e-217,726.8,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
13421,O19895,P31694,1.3e-217,726.7,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
13422,O19895,Q3MAB1,3.1e-217,725.4,Trichormus variabilis ATCC 29413
13423,B0DQB9,A8NDT2,2.5000000000000004e-249,832.1,Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003)
13424,B0DQB9,Q4P7R2,9.299999999999999e-221,738.0,Ustilago maydis (strain 521 / FGSC 9021)
13425,B0DQB9,A8Q0E3,2.4e-215,720.2,Malassezia globosa (strain ATCC MYA-4612 / CBS 7966)
13426,B0DQB9,A5DIP4,6.8999999999999986e-192,642.9,Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324)
13427,B0DQB9,C5MBF2,2.3e-189,634.5,Candida tropicalis (strain ATCC MYA-3404 / T1)
13428,B0DQB9,A5DSZ3,3.8e-189,633.8,Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239)
13429,B0DQB9,A3LYS9,3.6e-187,627.3,Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)
13430,B0DQB9,Q6CQ65,2.4e-186,624.6,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37)
13431,A5GIT0,A5GVX5,6.8e-60,204.9,Synechococcus sp. (strain RCC307)
13432,P49531,A0T0S6,5e-20,73.8,Thalassiosira pseudonana
13433,P49531,A0T0A7,5.6e-15,58.5,Phaeodactylum tricornutum (strain CCAP 1055/1)
13434,P49531,O96810,1e-09,42.5,Skeletonema costatum
13435,P49531,Q1XDL1,0.00024,26.2,Pyropia yezoensis
13436,P49531,P51275,0.00036,25.7,Porphyra purpurea
13437,P49531,O78499,0.00074,24.7,Guillardia theta
13438,P49531,Q4G3B3,0.0018,23.5,Emiliania huxleyi
13439,P49531,Q9TLR5,0.0078,21.6,Cyanidium caldarium
13440,P49531,B0JI68,0.0087,21.5,Microcystis aeruginosa (strain NIES-843)
13441,P49531,Q85FX8,0.0099,21.3,Cyanidioschyzon merolae (strain 10D)
13442,P49531,B0C6T5,0.011,21.2,Acaryochloris marina (strain MBIC 11017)
13443,P49531,Q2JN39,0.047,19.2,Synechococcus sp. (strain JA-2-3B'a(2-13))
13444,P49531,B2J8Q3,0.44,16.3,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
13445,Q31CX8,A3PAS1,1.7e-149,499.9,Prochlorococcus marinus (strain MIT 9301)
13446,Q31CX8,A8G2L0,2.7e-147,492.7,Prochlorococcus marinus (strain MIT 9215)
13447,Q31CX8,A2BUI0,3.5e-144,482.5,Prochlorococcus marinus str. MIT 9515
13448,Q31CX8,Q0I6K8,1.5e-123,415.1,Synechococcus sp. (strain CC9311)
13449,Q31CX8,A2CDE8,1.4e-122,411.9,Prochlorococcus marinus str. MIT 9303
13450,Q31CX8,Q7VDY6,1.8e-118,398.5,Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)
13451,Q31CX8,Q8DM27,5.6e-107,360.9,Thermosynechococcus elongatus (strain BP-1)
13452,P15760,B0JVN4,1.8e-29,105.3,Microcystis aeruginosa (strain NIES-843)
13453,P15760,Q1XDN1,8.1e-29,103.3,Pyropia yezoensis
13454,P15760,Q31P66,1.4e-28,102.5,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
13455,P15760,Q5N503,1.4e-28,102.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
13456,P15760,Q8DH98,3.1e-28,101.4,Thermosynechococcus elongatus (strain BP-1)
13457,P15760,B2J0D3,4.9e-28,100.8,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
13458,P15760,Q46KZ6,5.9e-28,100.5,Prochlorococcus marinus (strain NATL2A)
13459,P15760,A6MVX7,1.5e-27,99.2,Rhodomonas salina
13460,Q07512,Q41452,1.5e-203,680.0,Solanum tuberosum
13461,Q07512,Q9M547,6.5e-184,615.4,Eustoma exaltatum subsp. russellianum
13462,Q07512,Q7XZQ6,4.1e-180,602.9,Petroselinum crispum
13463,Q07512,Q96323,1.5e-81,278.7,Arabidopsis thaliana
13464,Q4R963,P49368,0.0,1188.8,Homo sapiens
13465,Q4R963,Q3T0K2,0.0,1179.4,Bos taurus
13466,Q4R963,Q6P502,0.0,1175.9,Rattus norvegicus
13467,Q4R963,P80318,0.0,1167.8,Mus musculus
13468,Q4R963,O74341,3e-229,766.6,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
13469,Q4R963,Q54TH8,1.1e-220,738.3,Dictyostelium discoideum
13470,Q4R963,O00782,1.4e-218,731.4,Oxytricha granulifera
13471,Q4R963,Q9N4J8,3.1e-217,727.0,Caenorhabditis elegans
13472,Q4R963,Q84WV1,8.1e-216,722.3,Arabidopsis thaliana
13473,Q4R963,P54408,1.4999999999999999e-215,721.4,Tetrahymena pyriformis
13474,Q4R963,P39077,1.6e-209,701.5,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
13475,Q4R963,Q8SR76,2.4e-144,486.5,Encephalitozoon cuniculi (strain GB-M1)
13476,Q4R963,O28821,1.9999999999999998e-130,440.6,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
13477,B7KHY7,B7K335,1e-114,386.3,Rippkaea orientalis (strain PCC 8801)
13478,B7KHY7,P73320,1.6e-110,372.7,Synechocystis sp. (strain PCC 6803 / Kazusa)
13479,B7KHY7,B0JI03,2.1e-110,372.2,Microcystis aeruginosa (strain NIES-843)
13480,B7KHY7,B1XJT9,2.1e-107,362.5,Synechococcus sp. PCC 7002
13481,B7KHY7,B1WQQ9,8.899999999999999e-107,360.4,Crocosphaera subtropica (strain ATCC 51142 / BH68)
13482,B7KHY7,Q8DMN1,7.5e-104,350.8,Thermosynechococcus elongatus (strain BP-1)
13483,B7KHY7,B0C1D3,5.2e-101,341.6,Acaryochloris marina (strain MBIC 11017)
