Hit,Protein1,Protein2,E,Score,Organism,concat1,concat2
35258,Q68RY8,A4QJD3,1.7e-13,52.4,Aethionema cordifolium,Q68RY8A4QJD3,A4QJD3Q68RY8
35259,Q68RY8,A4QK36,4e-13,51.3,Arabis hirsuta,Q68RY8A4QK36,A4QK36Q68RY8
35260,Q68RY8,A4QL37,4e-13,51.3,Draba nemorosa,Q68RY8A4QL37,A4QL37Q68RY8
35261,Q68RY8,A4QKC3,4e-13,51.3,Barbarea verna,Q68RY8A4QKC3,A4QKC3Q68RY8
35262,Q68RY8,A4QKU9,4e-13,51.3,Crucihimalaya wallichii,Q68RY8A4QKU9,A4QKU9Q68RY8
35263,Q68RY8,A4QLV1,4e-13,51.3,Nasturtium officinale,Q68RY8A4QLV1,A4QLV1Q68RY8
35264,Q68RY8,A4QJU9,4e-13,51.3,Olimarabidopsis pumila,Q68RY8A4QJU9,A4QJU9Q68RY8
35265,Q68RY8,A4QLC4,4e-13,51.3,Lepidium virginicum,Q68RY8A4QLC4,A4QLC4Q68RY8
35266,Q68RY8,A4QKL0,4e-13,51.3,Capsella bursa-pastoris,Q68RY8A4QKL0,A4QKL0Q68RY8
35267,Q68RY8,A4QLL2,4e-13,51.3,Lobularia maritima,Q68RY8A4QLL2,A4QLL2Q68RY8
35268,Q68RY8,Q06GP2,7.2e-13,50.5,Piper cenocladum,Q68RY8Q06GP2,Q06GP2Q68RY8
35269,Q68RY8,Q09MG0,1e-12,50.1,Citrus sinensis,Q68RY8Q09MG0,Q09MG0Q68RY8
35270,Q68RY8,Q06DU1,1.8e-12,49.3,Silene latifolia,Q68RY8Q06DU1,Q06DU1Q68RY8
35271,Q68RY8,Q06DU9,1.8e-12,49.3,Silene conica,Q68RY8Q06DU9,Q06DU9Q68RY8
35272,Q2JJ19,Q2JX64,0.0,2498.0,Synechococcus sp. (strain JA-3-3Ab),Q2JJ19Q2JX64,Q2JX64Q2JJ19
35273,Q2JJ19,Q31N17,0.0,2020.2,Synechococcus elongatus (strain PCC 7942 / FACHB-805),Q2JJ19Q31N17,Q31N17Q2JJ19
35274,Q2JJ19,Q8DL55,0.0,2015.6,Thermosynechococcus elongatus (strain BP-1),Q2JJ19Q8DL55,Q8DL55Q2JJ19
35275,Q2JJ19,Q5MZ23,0.0,2014.3,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),Q2JJ19Q5MZ23,Q5MZ23Q2JJ19
35276,Q2JJ19,Q3M5D0,0.0,2011.5,Trichormus variabilis ATCC 29413,Q2JJ19Q3M5D0,Q3M5D0Q2JJ19
35277,Q2JJ19,Q110H1,0.0,2005.8,Trichodesmium erythraeum (strain IMS101),Q2JJ19Q110H1,Q110H1Q2JJ19
35278,Q2JJ19,P22703,0.0,2003.6,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),Q2JJ19P22703,P22703Q2JJ19
35279,Q2JJ19,Q7NIA0,0.0,1981.9,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421),Q2JJ19Q7NIA0,Q7NIA0Q2JJ19
35280,Q2JJ19,A6MVX4,0.0,1888.6,Rhodomonas salina,Q2JJ19A6MVX4,A6MVX4Q2JJ19
35281,Q2JJ19,A5GVF3,0.0,1879.7,Synechococcus sp. (strain RCC307),Q2JJ19A5GVF3,A5GVF3Q2JJ19
35282,Q2JJ19,A2C6S8,0.0,1875.6,Prochlorococcus marinus str. MIT 9303,Q2JJ19A2C6S8,A2C6S8Q2JJ19
35283,Q2JJ19,Q7V5P1,0.0,1875.0,Prochlorococcus marinus (strain MIT 9313),Q2JJ19Q7V5P1,Q7V5P1Q2JJ19
35284,Q2JJ19,A8G6Y6,0.0,1868.8,Prochlorococcus marinus (strain MIT 9215),Q2JJ19A8G6Y6,A8G6Y6Q2JJ19
35285,Q2JJ19,A3PEX4,0.0,1867.0,Prochlorococcus marinus (strain MIT 9301),Q2JJ19A3PEX4,A3PEX4Q2JJ19
35286,Q2JJ19,A2BT61,0.0,1866.4,Prochlorococcus marinus (strain AS9601),Q2JJ19A2BT61,A2BT61Q2JJ19
35287,Q2JJ19,Q0I7L7,0.0,1866.3,Synechococcus sp. (strain CC9311),Q2JJ19Q0I7L7,Q0I7L7Q2JJ19
35288,Q2JJ19,Q318Q7,0.0,1866.0,Prochlorococcus marinus (strain MIT 9312),Q2JJ19Q318Q7,Q318Q7Q2JJ19
35289,Q2JJ19,A2BYL1,0.0,1865.9,Prochlorococcus marinus str. MIT 9515,Q2JJ19A2BYL1,A2BYL1Q2JJ19
35290,P49492,A0T0W7,3.6e-100,338.3,Thalassiosira pseudonana,P49492A0T0W7,A0T0W7P49492
35291,P49492,A0T0H2,5.7e-93,314.8,Phaeodactylum tricornutum (strain CCAP 1055/1),P49492A0T0H2,A0T0H2P49492
35292,P49492,A9BE29,1.5e-72,248.2,Prochlorococcus marinus (strain MIT 9211),P49492A9BE29,A9BE29P49492
35293,P49492,Q5MZ57,2.6e-72,247.4,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),P49492Q5MZ57,Q5MZ57P49492
35294,P49492,Q31N52,2.6e-72,247.4,Synechococcus elongatus (strain PCC 7942 / FACHB-805),P49492Q31N52,Q31N52P49492
35295,P49492,Q7U5K9,4.6e-72,246.7,Synechococcus sp. (strain WH8102),P49492Q7U5K9,Q7U5K9P49492
35296,P49492,A5GJA2,5.000000000000002e-72,246.5,Synechococcus sp. (strain WH7803),P49492A5GJA2,A5GJA2P49492
35297,P49492,B2J1M8,7.4e-72,246.0,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),P49492B2J1M8,B2J1M8P49492
35298,P49492,Q31CC9,8.3e-72,245.8,Prochlorococcus marinus (strain MIT 9312),P49492Q31CC9,Q31CC9P49492
35299,P49492,Q7V8U9,9.400000000000001e-72,245.6,Prochlorococcus marinus (strain MIT 9313),P49492Q7V8U9,Q7V8U9P49492
35300,P49492,A2CBJ1,9.400000000000001e-72,245.6,Prochlorococcus marinus str. MIT 9303,P49492A2CBJ1,A2CBJ1P49492
35301,P49492,A8G3C1,1.6000000000000001e-71,244.9,Prochlorococcus marinus (strain MIT 9215),P49492A8G3C1,A8G3C1P49492
35302,P49492,A2BPN7,1.6000000000000001e-71,244.9,Prochlorococcus marinus (strain AS9601),P49492A2BPN7,A2BPN7P49492
35303,P49492,A3PBC7,1.6000000000000001e-71,244.9,Prochlorococcus marinus (strain MIT 9301),P49492A3PBC7,A3PBC7P49492
35304,P49492,Q3ALH7,2.6000000000000007e-71,244.2,Synechococcus sp. CC9605,P49492Q3ALH7,Q3ALH7P49492
35305,P49492,A2BV69,3.2000000000000007e-71,243.9,Prochlorococcus marinus str. MIT 9515,P49492A2BV69,A2BV69P49492
35306,P49492,Q7VDG7,8.7e-71,242.5,Prochlorococcus marinus (strain SARG / CCMP1375 / SS120),P49492Q7VDG7,Q7VDG7P49492
35307,P49492,Q8YTI0,2e-70,241.3,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),P49492Q8YTI0,Q8YTI0P49492
35308,P49492,A5GRL5,2.6999999999999998e-70,240.9,Synechococcus sp. (strain RCC307),P49492A5GRL5,A5GRL5P49492
35309,Q8YPI7,Q3MFB3,5.6e-42,144.8,Trichormus variabilis ATCC 29413,Q8YPI7Q3MFB3,Q3MFB3Q8YPI7
35310,Q8YPI7,B2ITP7,1.2e-31,112.3,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),Q8YPI7B2ITP7,B2ITP7Q8YPI7
35311,Q8YPI7,B7K240,3.7999999999999995e-24,88.7,Rippkaea orientalis (strain PCC 8801),Q8YPI7B7K240,B7K240Q8YPI7
35312,Q8YPI7,Q2JIL9,3.9e-24,88.7,Synechococcus sp. (strain JA-2-3B'a(2-13)),Q8YPI7Q2JIL9,Q2JIL9Q8YPI7
35313,Q8YPI7,Q2JV89,6.0999999999999996e-24,88.1,Synechococcus sp. (strain JA-3-3Ab),Q8YPI7Q2JV89,Q2JV89Q8YPI7
35314,Q8YPI7,Q7NEG0,2.0000000000000002e-23,86.5,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421),Q8YPI7Q7NEG0,Q7NEG0Q8YPI7
35315,Q8YPI7,B7KHZ5,6e-23,84.9,Gloeothece citriformis (strain PCC 7424),Q8YPI7B7KHZ5,B7KHZ5Q8YPI7
35316,Q8YPI7,B1WQR8,2.5000000000000002e-22,83.0,Crocosphaera subtropica (strain ATCC 51142 / BH68),Q8YPI7B1WQR8,B1WQR8Q8YPI7
35317,Q8YPI7,B0JHZ5,1.3e-21,80.7,Microcystis aeruginosa (strain NIES-843),Q8YPI7B0JHZ5,B0JHZ5Q8YPI7
35318,Q8YPI7,P73312,2.4e-21,79.9,Synechocystis sp. (strain PCC 6803 / Kazusa),Q8YPI7P73312,P73312Q8YPI7
35319,Q8YPI7,B1XJT1,2.6e-21,79.8,Synechococcus sp. PCC 7002,Q8YPI7B1XJT1,B1XJT1Q8YPI7
35320,Q8YPI7,Q110B5,3.7e-21,79.3,Trichodesmium erythraeum (strain IMS101),Q8YPI7Q110B5,Q110B5Q8YPI7
35321,Q8YPI7,Q31L15,2.2e-20,76.9,Synechococcus elongatus (strain PCC 7942 / FACHB-805),Q8YPI7Q31L15,Q31L15Q8YPI7
35322,Q8YPI7,Q8DMM4,3.9e-20,76.1,Thermosynechococcus elongatus (strain BP-1),Q8YPI7Q8DMM4,Q8DMM4Q8YPI7
35323,Q8YPI7,A5GVW8,2e-19,73.8,Synechococcus sp. (strain RCC307),Q8YPI7A5GVW8,A5GVW8Q8YPI7
35324,Q8YPI7,P51306,8.7e-19,71.8,Porphyra purpurea,Q8YPI7P51306,P51306Q8YPI7
35325,Q8YPI7,Q1XDI2,1.7e-17,67.8,Pyropia yezoensis,Q8YPI7Q1XDI2,Q1XDI2Q8YPI7
35326,Q8YPI7,Q7V535,7.2e-17,65.8,Prochlorococcus marinus (strain MIT 9313),Q8YPI7Q7V535,Q7V535Q8YPI7
35327,P92276,Q1KVS7,5.8e-28,100.5,Tetradesmus obliquus,P92276Q1KVS7,Q1KVS7P92276
35328,P92276,Q06SC6,2.9e-23,85.8,Stigeoclonium helveticum,P92276Q06SC6,Q06SC6P92276
35329,P92276,Q20EZ9,9.000000000000001e-23,84.2,Oltmannsiellopsis viridis,P92276Q20EZ9,Q20EZ9P92276
35330,P92276,Q3ZJ76,4.3e-21,79.0,Tupiella akineta,P92276Q3ZJ76,Q3ZJ76P92276
35331,P92276,P56313,1.5e-20,77.3,Chlorella vulgaris,P92276P56313,P56313P92276
35332,P92276,B2Y1U7,3.6e-20,76.1,Welwitschia mirabilis,P92276B2Y1U7,B2Y1U7P92276
35333,P92276,Q85FM4,4.8e-20,75.7,Adiantum capillus-veneris,P92276Q85FM4,Q85FM4P92276
35334,P92276,Q1ACJ5,1.4e-19,74.3,Chara vulgaris,P92276Q1ACJ5,Q1ACJ5P92276
35335,P92276,Q32RL8,2.6e-19,73.4,Zygnema circumcarinatum,P92276Q32RL8,Q32RL8P92276
35336,P92276,P09973,3.3e-19,73.1,Marchantia polymorpha,P92276P09973,P09973P92276
35337,P92276,P59705,5.3e-19,72.4,Anthoceros angustus,P92276P59705,P59705P92276
35338,P92276,Q32RT1,6.9e-19,72.1,Staurastrum punctulatum,P92276Q32RT1,Q32RT1P92276
35339,P92276,Q8M9W6,1.7e-18,70.8,Chaetosphaeridium globosum,P92276Q8M9W6,Q8M9W6P92276
35340,P92276,Q0P3M1,2.3e-18,70.4,Ostreococcus tauri,P92276Q0P3M1,Q0P3M1P92276
35341,P92276,Q2PMU0,2.8e-18,70.1,Glycine max,P92276Q2PMU0,Q2PMU0P92276
35342,P92276,Q06GR3,3.5e-18,69.8,Piper cenocladum,P92276Q06GR3,Q06GR3P92276
35343,P92276,Q68S09,9.5e-18,68.5,Panax ginseng,P92276Q68S09,Q68S09P92276
35344,P92276,Q1KXW2,9.5e-18,68.5,Helianthus annuus,P92276Q1KXW2,Q1KXW2P92276
35345,P92276,Q06FV9,1.1e-17,68.2,Pelargonium hortorum,P92276Q06FV9,Q06FV9P92276
35346,Q2JL43,Q2JUN7,0.0,1107.4,Synechococcus sp. (strain JA-3-3Ab),Q2JL43Q2JUN7,Q2JUN7Q2JL43
35347,Q2JL43,Q8DMD4,2.1e-300,1001.2,Thermosynechococcus elongatus (strain BP-1),Q2JL43Q8DMD4,Q8DMD4Q2JL43
35348,Q2JL43,O50323,1.2e-298,995.5,Thermosynechococcus vulcanus,Q2JL43O50323,O50323Q2JL43
35349,Q2JL43,Q10WQ4,2.5e-291,971.3,Trichodesmium erythraeum (strain IMS101),Q2JL43Q10WQ4,Q10WQ4Q2JL43
35350,Q2JL43,P22879,2.4e-289,964.8,Synechococcus elongatus (strain PCC 7942 / FACHB-805),Q2JL43P22879,P22879Q2JL43
35351,Q2JL43,P12834,2.4e-289,964.8,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),Q2JL43P12834,P12834Q2JL43
35352,Q2JL43,Q3M704,3.9999999999999995e-285,950.9,Trichormus variabilis ATCC 29413,Q2JL43Q3M704,Q3M704Q2JL43
35353,Q2JL43,Q05972,5.3e-284,947.2,Synechocystis sp. (strain PCC 6803 / Kazusa),Q2JL43Q05972,Q05972Q2JL43
35354,Q2JL43,B0CEZ1,5.3e-280,934.0,Acaryochloris marina (strain MBIC 11017),Q2JL43B0CEZ1,B0CEZ1Q2JL43
35355,Q2JL43,A5GV53,4.3000000000000004e-277,924.4,Synechococcus sp. (strain RCC307),Q2JL43A5GV53,A5GV53Q2JL43
35356,Q2JL43,A2C4I2,1.9999999999999998e-276,922.2,Prochlorococcus marinus (strain NATL1A),Q2JL43A2C4I2,A2C4I2Q2JL43
35357,Q2JL43,Q46J70,1.1e-275,919.7,Prochlorococcus marinus (strain NATL2A),Q2JL43Q46J70,Q46J70Q2JL43
35358,Q2JL43,Q0I7U3,1.2e-275,919.7,Synechococcus sp. (strain CC9311),Q2JL43Q0I7U3,Q0I7U3Q2JL43
35359,Q2JL43,A5GNA9,3.7e-275,918.0,Synechococcus sp. (strain WH7803),Q2JL43A5GNA9,A5GNA9Q2JL43
35360,Q2JL43,Q3AZK3,5.0000000000000005e-275,917.6,Synechococcus sp. CC9902,Q2JL43Q3AZK3,Q3AZK3Q2JL43
35361,Q2JL43,Q7TTX1,1.4e-274,916.2,Synechococcus sp. (strain WH8102),Q2JL43Q7TTX1,Q7TTX1Q2JL43
35362,Q2JL43,A2BT10,1.7e-272,909.3,Prochlorococcus marinus (strain AS9601),Q2JL43A2BT10,A2BT10Q2JL43
35363,Q2JL43,A2BYG1,2.1e-272,908.9,Prochlorococcus marinus str. MIT 9515,Q2JL43A2BYG1,A2BYG1Q2JL43
35364,Q43744,Q9ZP06,3.6999999999999996e-205,685.2,Arabidopsis thaliana,Q43744Q9ZP06,Q9ZP06Q43744
35365,Q43744,Q9LKA3,5.1e-189,632.2,Arabidopsis thaliana,Q43744Q9LKA3,Q9LKA3Q43744
35366,Q43744,P17783,4.5000000000000005e-182,609.4,Citrullus lanatus,Q43744P17783,P17783Q43744
35367,Q43744,P83373,4.5000000000000003e-178,596.2,Fragaria ananassa,Q43744P83373,P83373Q43744
35368,Q43744,P46487,3.6e-174,583.4,Eucalyptus gunnii,Q43744P46487,P46487Q43744
35369,Q43744,Q42686,9.999999999999999e-139,466.9,Chlamydomonas reinhardtii,Q43744Q42686,Q42686Q43744
35370,Q43744,Q42972,3.3e-131,442.3,Oryza sativa subsp. japonica,Q43744Q42972,Q42972Q43744
35371,Q43744,P46488,4.3e-127,428.8,Cucumis sativus,Q43744P46488,P46488Q43744
35372,Q43744,P19446,4.5999999999999996e-127,428.7,Citrullus lanatus,Q43744P19446,P19446Q43744
35373,Q43744,O82399,1.9e-125,423.3,Arabidopsis thaliana,Q43744O82399,O82399Q43744
35374,Q43744,P37228,1.3000000000000002e-124,420.6,Glycine max,Q43744P37228,P37228Q43744
35375,Q43744,Q9ZP05,5.3000000000000005e-124,418.6,Arabidopsis thaliana,Q43744Q9ZP05,Q9ZP05Q43744
35376,Q43744,Q9XFW3,1.4e-122,414.0,Brassica napus,Q43744Q9XFW3,Q9XFW3Q43744
35377,Q43744,Q43743,6.9e-122,411.7,Brassica napus,Q43744Q43743,Q43743Q43744
35378,Q43744,K0J107,6e-115,388.8,Felis catus,Q43744K0J107,K0J107Q43744
35379,Q43744,Q32LG3,2.6e-113,383.5,Bos taurus,Q43744Q32LG3,Q32LG3Q43744
35380,Q43744,Q5NVR2,7.3e-113,382.0,Pongo abelii,Q43744Q5NVR2,Q5NVR2Q43744
35381,Q43744,P40926,3.3e-112,379.9,Homo sapiens,Q43744P40926,P40926Q43744
35382,B7JYE8,B1WYX8,2.2e-20,74.4,Crocosphaera subtropica (strain ATCC 51142 / BH68),B7JYE8B1WYX8,B1WYX8B7JYE8
35383,B7JYE8,B7KFR0,6.3e-20,73.0,Gloeothece citriformis (strain PCC 7424),B7JYE8B7KFR0,B7KFR0B7JYE8
35384,B7JYE8,Q54697,4.7e-19,70.4,Synechocystis sp. (strain PCC 6803 / Kazusa),B7JYE8Q54697,Q54697B7JYE8
35385,B7JYE8,B0JX58,1.1e-18,69.3,Microcystis aeruginosa (strain NIES-843),B7JYE8B0JX58,B0JX58B7JYE8
35386,B7JYE8,B2J266,1.8e-17,65.6,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),B7JYE8B2J266,B2J266B7JYE8
35387,B7JYE8,Q3M8S5,2.6e-17,65.1,Trichormus variabilis ATCC 29413,B7JYE8Q3M8S5,Q3M8S5B7JYE8
35388,B7JYE8,Q8YXD6,2.6e-17,65.1,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),B7JYE8Q8YXD6,Q8YXD6B7JYE8
35389,B7JYE8,P49511,1.8e-15,59.5,Trieres chinensis,B7JYE8P49511,P49511B7JYE8
35390,B7JYE8,Q0P3J5,2.2e-15,59.3,Ostreococcus tauri,B7JYE8Q0P3J5,Q0P3J5B7JYE8
35391,B7JYE8,Q32RW7,2.8e-15,58.9,Staurastrum punctulatum,B7JYE8Q32RW7,Q32RW7B7JYE8
35392,B7JYE8,A0T0M2,3e-15,58.9,Phaeodactylum tricornutum (strain CCAP 1055/1),B7JYE8A0T0M2,A0T0M2B7JYE8
35393,B7JYE8,Q9TKW3,3.7e-15,58.6,Nephroselmis olivacea,B7JYE8Q9TKW3,Q9TKW3B7JYE8
35394,B7JYE8,Q8M9Z9,4.7e-15,58.3,Chaetosphaeridium globosum,B7JYE8Q8M9Z9,Q8M9Z9B7JYE8
35395,B7JYE8,A0T0U9,5e-15,58.2,Thalassiosira pseudonana,B7JYE8A0T0U9,A0T0U9B7JYE8
35396,B7JYE8,Q19V93,1.1e-14,57.2,Chlorokybus atmophyticus,B7JYE8Q19V93,Q19V93B7JYE8
35397,B7JYE8,Q85FN6,1.2e-14,57.1,Adiantum capillus-veneris,B7JYE8Q85FN6,Q85FN6B7JYE8
35398,B7JYE8,Q32RP2,1.6e-14,56.6,Zygnema circumcarinatum,B7JYE8Q32RP2,Q32RP2B7JYE8
35399,B7JYE8,P41599,2.2e-14,56.2,Pinus thunbergii,B7JYE8P41599,P41599B7JYE8
35400,B7JYE8,Q85X70,2.2e-14,56.2,Pinus koraiensis,B7JYE8Q85X70,Q85X70B7JYE8
35401,Q0IDC8,Q3AMZ3,4.1e-39,136.3,Synechococcus sp. CC9605,Q0IDC8Q3AMZ3,Q3AMZ3Q0IDC8
35402,Q0IDC8,Q7U9I7,4.1e-39,136.3,Synechococcus sp. (strain WH8102),Q0IDC8Q7U9I7,Q7U9I7Q0IDC8
35403,Q0IDC8,Q3AUQ6,4.1e-39,136.3,Synechococcus sp. CC9902,Q0IDC8Q3AUQ6,Q3AUQ6Q0IDC8
35404,Q0IDC8,A5GIH4,4.8e-38,132.9,Synechococcus sp. (strain WH7803),Q0IDC8A5GIH4,A5GIH4Q0IDC8
35405,Q0IDC8,A5GWI2,8.200000000000001e-38,132.2,Synechococcus sp. (strain RCC307),Q0IDC8A5GWI2,A5GWI2Q0IDC8
35406,Q0IDC8,P14835,1.9e-34,121.6,Synechocystis sp. (strain PCC 6803 / Kazusa),Q0IDC8P14835,P14835Q0IDC8
35407,Q0IDC8,B1XIE1,7.8e-34,119.6,Synechococcus sp. PCC 7002,Q0IDC8B1XIE1,B1XIE1Q0IDC8
35408,Q0IDC8,B1WS17,1.3e-32,115.7,Crocosphaera subtropica (strain ATCC 51142 / BH68),Q0IDC8B1WS17,B1WS17Q0IDC8
35409,Q0IDC8,B7JW07,2.5e-32,114.8,Rippkaea orientalis (strain PCC 8801),Q0IDC8B7JW07,B7JW07Q0IDC8
35410,Q0IDC8,Q2JLQ8,3.4000000000000003e-32,114.4,Synechococcus sp. (strain JA-2-3B'a(2-13)),Q0IDC8Q2JLQ8,Q2JLQ8Q0IDC8
35411,Q0IDC8,Q3M4N8,4.5e-32,114.0,Trichormus variabilis ATCC 29413,Q0IDC8Q3M4N8,Q3M4N8Q0IDC8
35412,Q0IDC8,Q8YYK2,4.5e-32,114.0,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),Q0IDC8Q8YYK2,Q8YYK2Q0IDC8
35413,Q0IDC8,Q5N2J2,5.1e-32,113.8,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),Q0IDC8Q5N2J2,Q5N2J2Q0IDC8
35414,Q0IDC8,Q31RR2,5.1e-32,113.8,Synechococcus elongatus (strain PCC 7942 / FACHB-805),Q0IDC8Q31RR2,Q31RR2Q0IDC8
35415,Q0IDC8,B0JGF6,1.7999999999999998e-31,112.1,Microcystis aeruginosa (strain NIES-843),Q0IDC8B0JGF6,B0JGF6Q0IDC8
35416,Q0IDC8,B2JA13,3.1e-31,111.4,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),Q0IDC8B2JA13,B2JA13Q0IDC8
35417,Q0IDC8,O19925,7.9e-31,110.1,Cyanidium caldarium,Q0IDC8O19925,O19925Q0IDC8
35418,Q0IDC8,Q8DJ43,1.2e-30,109.5,Thermosynechococcus elongatus (strain BP-1),Q0IDC8Q8DJ43,Q8DJ43Q0IDC8
35419,Q0IDC8,Q2JUV4,1.7e-30,109.1,Synechococcus sp. (strain JA-3-3Ab),Q0IDC8Q2JUV4,Q2JUV4Q0IDC8
35420,Q2G8P0,Q2NBQ2,7.6e-40,138.7,Erythrobacter litoralis (strain HTCC2594),Q2G8P0Q2NBQ2,Q2NBQ2Q2G8P0
35421,Q2G8P0,Q1GWG9,1.3e-38,134.8,Sphingopyxis alaskensis (strain DSM 13593 / LMG 18877 / RB2256),Q2G8P0Q1GWG9,Q1GWG9Q2G8P0
35422,Q2G8P0,Q984T3,9.9e-37,128.9,Mesorhizobium japonicum MAFF 303099,Q2G8P0Q984T3,Q984T3Q2G8P0
35423,Q2G8P0,Q5NN07,1.9e-36,128.0,Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4),Q2G8P0Q5NN07,Q5NN07Q2G8P0
35424,Q2G8P0,Q11HG4,2.2e-36,127.8,Chelativorans sp. (strain BNC1),Q2G8P0Q11HG4,Q11HG4Q2G8P0
35425,Q2G8P0,B0CKE3,1.1e-35,125.6,Brucella suis (strain ATCC 23445 / NCTC 10510),Q2G8P0B0CKE3,B0CKE3Q2G8P0
35426,Q2G8P0,A5VP30,1.1e-35,125.6,Brucella ovis (strain ATCC 25840 / 63/290 / NCTC 10512),Q2G8P0A5VP30,A5VP30Q2G8P0
35427,Q2G8P0,Q57EQ8,1.1e-35,125.6,Brucella abortus biovar 1 (strain 9-941),Q2G8P0Q57EQ8,Q57EQ8Q2G8P0
35428,Q2G8P0,Q2YMG5,1.1e-35,125.6,Brucella abortus (strain 2308),Q2G8P0Q2YMG5,Q2YMG5Q2G8P0
35429,Q2G8P0,C0RHG7,1.1e-35,125.6,Brucella melitensis biotype 2 (strain ATCC 23457),Q2G8P0C0RHG7,C0RHG7Q2G8P0
35430,Q2G8P0,B2S9V7,1.1e-35,125.6,Brucella abortus (strain S19),Q2G8P0B2S9V7,B2S9V7Q2G8P0
35431,Q2G8P0,P63437,1.1e-35,125.6,Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094),Q2G8P0P63437,P63437Q2G8P0
35432,Q2G8P0,P63438,1.1e-35,125.6,Brucella suis biovar 1 (strain 1330),Q2G8P0P63438,P63438Q2G8P0
35433,Q2G8P0,A9M8Y2,1.1e-35,125.6,Brucella canis (strain ATCC 23365 / NCTC 10854),Q2G8P0A9M8Y2,A9M8Y2Q2G8P0
35434,Q2G8P0,B0UNZ6,1.9e-35,124.8,Methylobacterium sp. (strain 4-46),Q2G8P0B0UNZ6,B0UNZ6Q2G8P0
35435,Q2G8P0,Q5LR57,1.5e-34,122.0,Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3),Q2G8P0Q5LR57,Q5LR57Q2G8P0
35436,Q2G8P0,Q1GHT1,1.8e-34,121.7,Ruegeria sp. (strain TM1040),Q2G8P0Q1GHT1,Q1GHT1Q2G8P0
35437,Q2G8P0,B6IN76,2.2e-34,121.5,Rhodospirillum centenum (strain ATCC 51521 / SW),Q2G8P0B6IN76,B6IN76Q2G8P0
35438,Q2G8P0,A1US60,5.3000000000000005e-34,120.3,Bartonella bacilliformis (strain ATCC 35685 / NCTC 12138 / KC583),Q2G8P0A1US60,A1US60Q2G8P0
35439,Q5NVF9,P49368,0.0,1199.4,Homo sapiens,Q5NVF9P49368,P49368Q5NVF9
35440,Q5NVF9,Q4R963,0.0,1190.7,Macaca fascicularis,Q5NVF9Q4R963,Q4R963Q5NVF9
35441,Q5NVF9,Q3T0K2,0.0,1181.4,Bos taurus,Q5NVF9Q3T0K2,Q3T0K2Q5NVF9
35442,Q5NVF9,Q6P502,0.0,1181.1,Rattus norvegicus,Q5NVF9Q6P502,Q6P502Q5NVF9
35443,Q5NVF9,P80318,0.0,1173.0,Mus musculus,Q5NVF9P80318,P80318Q5NVF9
35444,Q5NVF9,P48605,1.2e-248,830.5,Drosophila melanogaster,Q5NVF9P48605,P48605Q5NVF9
35445,Q5NVF9,O74341,2.2e-230,770.4,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Q5NVF9O74341,O74341Q5NVF9
35446,Q5NVF9,Q54TH8,1.9e-221,740.9,Dictyostelium discoideum,Q5NVF9Q54TH8,Q54TH8Q5NVF9
35447,Q5NVF9,O00782,4.6e-219,733.0,Oxytricha granulifera,Q5NVF9O00782,O00782Q5NVF9
35448,Q5NVF9,Q9N4J8,3.3e-218,730.2,Caenorhabditis elegans,Q5NVF9Q9N4J8,Q9N4J8Q5NVF9
35449,Q5NVF9,Q84WV1,1.2e-216,725.1,Arabidopsis thaliana,Q5NVF9Q84WV1,Q84WV1Q5NVF9
35450,Q5NVF9,P54408,2.2e-215,720.8,Tetrahymena pyriformis,Q5NVF9P54408,P54408Q5NVF9
35451,Q5NVF9,P39077,1e-210,705.4,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Q5NVF9P39077,P39077Q5NVF9
35452,Q5NVF9,Q9LKI7,9.999999999999999e-210,702.2,Thalassiosira weissflogii,Q5NVF9Q9LKI7,Q9LKI7Q5NVF9
35453,Q5NVF9,Q8SR76,1.8e-144,487.0,Encephalitozoon cuniculi (strain GB-M1),Q5NVF9Q8SR76,Q8SR76Q5NVF9
35454,Q5NVF9,O28821,1.5e-132,447.6,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Q5NVF9O28821,O28821Q5NVF9
